age,sex,is_closed,has_high_education,relation_status,number_of_relatives,len_of_about,number_of_activities,number_of_books,number_of_friends,number_of_followers,number_of_interests,number_of_groups,number_of_movies,len_of_status,age_hidden
37,1,0,1,4,1,0,1,1,72,15,1,1,1,0,0
37,1,0,0,0,0,0,0,0,152,70,0,24,0,0,0
38,1,0,0,0,0,0,0,0,271,1298,0,46,0,9,0
33,0,0,0,0,0,0,0,0,206,270,0,58,0,11,0
38,0,0,0,0,0,0,0,0,330,484,0,42,0,0,0
34,1,0,1,0,3,3,1,1,955,962,9,179,2,0,0
34,1,0,0,0,0,0,0,0,751,39,0,6,0,0,0
35,1,0,0,0,0,0,0,0,118,88,0,7,0,0,0
33,0,0,0,0,0,0,0,0,173,199,0,12,0,0,0
0,0,0,0,0,0,0,0,0,230,384,0,14,0,0,1
36,0,0,0,0,0,0,0,0,89,68,0,86,0,0,0
32,1,0,1,4,7,0,1,1,3680,611,1,53,1,1,0
31,0,0,0,0,0,0,0,0,280,60,0,81,0,0,0
39,1,0,0,0,0,0,0,0,79,64,0,24,0,0,0
34,1,0,1,2,0,4,1,1,224,28,1,5,4,9,0
32,0,0,0,0,0,0,0,0,606,920,0,178,0,5,0
32,1,0,1,0,4,0,1,1,456,253,1,21,1,0,0
33,0,0,0,0,0,0,0,0,190,224,0,2,0,0,0
0,0,0,1,0,1,0,2,2,299,605,1,168,8,7,1
0,1,0,0,0,0,0,0,0,550,133,0,9,0,0,1
31,1,0,1,4,5,0,2,1,158,1053,1,264,1,1,0
30,1,0,0,0,0,0,0,0,2043,2181,0,576,0,0,0
32,0,0,0,0,0,0,0,0,294,258,0,25,0,0,0
38,1,0,1,1,0,0,1,2,119,102,14,12,5,0,0
31,1,0,0,0,0,0,0,0,260,84,0,2,0,1,0
32,1,0,1,0,0,1,1,1,96,163,1,30,1,0,0
0,0,0,1,4,4,8,1,1,82,718,1,39,1,0,1
34,0,0,0,0,0,0,0,0,203,394,0,7,0,0,0
0,1,0,1,4,3,0,2,1,4394,899,1,73,1,6,1
34,1,0,0,0,0,0,0,0,390,191,0,38,0,0,0
32,1,0,0,0,0,0,0,0,221,41,0,2,0,0,0
34,1,0,1,0,2,3,3,4,567,285,5,111,9,0,0
35,1,0,0,0,0,0,0,0,170,57,0,0,0,0,0
32,1,0,0,0,0,0,0,0,380,194,0,28,0,0,0
31,1,0,1,0,0,0,1,1,1153,835,1,422,1,6,0
31,0,0,0,0,0,0,0,0,338,1075,0,70,0,10,0
31,1,0,0,0,0,0,0,0,564,188,0,45,0,3,0
33,0,0,0,0,0,0,0,0,393,406,0,31,0,3,0
31,0,0,1,4,2,4,1,5,172,265,4,31,5,0,0
0,0,0,0,0,0,0,0,0,176,1681,0,67,0,0,1
34,1,0,1,4,0,3,1,1,149,326,1,43,1,3,0
34,0,0,0,0,0,0,0,0,325,561,0,77,0,22,0
33,0,0,0,0,0,0,0,0,636,1165,0,115,0,0,0
